id;first_name;last_name;email;phone_number;birth_date
1;Chet;Boyer;Osborne_Denesik@yahoo.com;Mexico tan;2021-04-04
2;Cordelia;Watsica;Krystel.Beahan@hotmail.com;Checking Sleek bypass;2021-04-04
3;Hortense;Stracke;Buddy.Parisian@hotmail.com;Vatu;2021-04-05
4;Johanna;Rodriguez;Ethan.Rogahn61@gmail.com;Cambridgeshire Mountain open-source;2021-04-05
5;Scot;Sawayn;Dewayne96@yahoo.com;multi-byte;2021-04-05
6;Shyanne;Robel;Mireya.Hoppe3@gmail.com;Gourde Verde AI;2021-04-04
7;Felipe;Walter;Ines17@hotmail.com;Principal bus;2021-04-04
8;Francesca;Becker;Forrest41@gmail.com;firewall;2021-04-05
9;Mckayla;Bradtke;Rosalinda.Wiegand@gmail.com;Rupee Guernsey Future;2021-04-04
10;Gabriella;Reilly;Muhammad_Harvey@gmail.com;Personal Hampshire killer;2021-04-05
